Date,Amzn_Close,AMZN_Return
03/01/2005,44.52,0.52
04/01/2005,42.14,-5.35
05/01/2005,41.77,-0.88
06/01/2005,41.05,-1.72
07/01/2005,42.32,3.09
10/01/2005,41.84,-1.13
11/01/2005,41.64,-0.48
12/01/2005,42.3,1.59
13/01/2005,42.6,0.71
14/01/2005,44.55,4.58
18/01/2005,44.58,0.07
19/01/2005,43.96,-1.39
20/01/2005,42.36,-3.64
21/01/2005,41.16,-2.83
24/01/2005,40.38,-1.9
25/01/2005,40.94,1.39
26/01/2005,41.34,0.98
27/01/2005,42.31,2.35
28/01/2005,42.22,-0.21
31/01/2005,43.22,2.37
01/02/2005,42.48,-1.71
02/02/2005,41.88,-1.41
03/02/2005,35.75,-14.64
04/02/2005,35.72,-0.08
07/02/2005,35.69,-0.08
08/02/2005,36.3,1.71
09/02/2005,35.89,-1.13
10/02/2005,35.78,-0.31
11/02/2005,35.78,0
14/02/2005,36.03,0.7
15/02/2005,36.14,0.31
16/02/2005,35.66,-1.33
17/02/2005,35.69,0.08
18/02/2005,35.31,-1.06
22/02/2005,34.72,-1.67
23/02/2005,34.14,-1.67
24/02/2005,34.69,1.61
25/02/2005,34.99,0.86
28/02/2005,35.18,0.54
01/03/2005,35.39,0.6
02/03/2005,35.5,0.31
03/03/2005,35.65,0.42
04/03/2005,35.85,0.56
07/03/2005,36.32,1.31
08/03/2005,35.83,-1.35
09/03/2005,35.4,-1.2
10/03/2005,34.91,-1.38
11/03/2005,34.75,-0.46
14/03/2005,34.6,-0.43
15/03/2005,34.18,-1.21
16/03/2005,33.87,-0.91
17/03/2005,33.97,0.3
18/03/2005,34.16,0.56
21/03/2005,33.67,-1.43
22/03/2005,33.15,-1.54
23/03/2005,33.18,0.09
24/03/2005,32.88,-0.9
28/03/2005,33.39,1.55
29/03/2005,33.43,0.12
30/03/2005,34.32,2.66
31/03/2005,34.27,-0.15
01/04/2005,34.01,-0.76
04/04/2005,35,2.91
05/04/2005,35.28,0.8
06/04/2005,34.82,-1.3
07/04/2005,34.9,0.23
08/04/2005,34.6,-0.86
11/04/2005,34.6,0
12/04/2005,34.63,0.09
13/04/2005,34.3,-0.95
14/04/2005,33.97,-0.96
15/04/2005,33.02,-2.8
18/04/2005,33,-0.06
19/04/2005,32.78,-0.67
20/04/2005,33.25,1.43
21/04/2005,33.73,1.44
22/04/2005,33.04,-2.05
25/04/2005,33.53,1.48
26/04/2005,32.71,-2.45
27/04/2005,31.72,-3.03
28/04/2005,32.52,2.52
29/04/2005,32.36,-0.49
02/05/2005,33.1,2.29
03/05/2005,33.21,0.33
04/05/2005,33.96,2.26
05/05/2005,33.96,0
06/05/2005,34.52,1.65
09/05/2005,34.64,0.35
10/05/2005,34.23,-1.18
11/05/2005,33.82,-1.2
12/05/2005,33.85,0.09
13/05/2005,33.9,0.15
16/05/2005,34.54,1.89
17/05/2005,34.73,0.55
18/05/2005,35.33,1.73
19/05/2005,35.59,0.74
20/05/2005,35.5,-0.25
23/05/2005,35.68,0.51
24/05/2005,35.54,-0.39
25/05/2005,35.25,-0.82
26/05/2005,35.45,0.57
27/05/2005,35.5,0.14
31/05/2005,35.51,0.03
01/06/2005,36.5,2.79
02/06/2005,36.41,-0.25
03/06/2005,35.59,-2.25
06/06/2005,35.77,0.51
07/06/2005,35.35,-1.17
08/06/2005,34.83,-1.47
09/06/2005,35.2,1.06
10/06/2005,34.95,-0.71
13/06/2005,34.87,-0.23
14/06/2005,35.04,0.49
15/06/2005,35.24,0.57
16/06/2005,35.58,0.96
17/06/2005,35.31,-0.76
20/06/2005,35.69,1.08
21/06/2005,35.38,-0.87
22/06/2005,35.22,-0.45
23/06/2005,35.43,0.6
24/06/2005,35.02,-1.16
27/06/2005,34.5,-1.48
28/06/2005,33.71,-2.29
29/06/2005,33.35,-1.07
30/06/2005,33.09,-0.78
01/07/2005,32.91,-0.54
05/07/2005,34.08,3.56
06/07/2005,34.06,-0.06
07/07/2005,33.96,-0.29
08/07/2005,34.74,2.3
11/07/2005,35.59,2.45
12/07/2005,36.31,2.02
13/07/2005,36.51,0.55
14/07/2005,37.19,1.86
15/07/2005,37.15,-0.11
18/07/2005,37.19,0.11
19/07/2005,38.17,2.64
20/07/2005,38.17,0
21/07/2005,37.95,-0.58
22/07/2005,37.95,0
25/07/2005,37.95,0
26/07/2005,37.74,-0.55
27/07/2005,43.65,15.66
28/07/2005,45.68,4.65
29/07/2005,45.15,-1.16
01/08/2005,44.93,-0.49
02/08/2005,46.51,3.52
03/08/2005,46.11,-0.86
04/08/2005,45.46,-1.41
05/08/2005,45.27,-0.42
08/08/2005,45.66,0.86
09/08/2005,45.93,0.59
10/08/2005,44.76,-2.55
11/08/2005,45.21,1.01
12/08/2005,44.2,-2.23
15/08/2005,45.04,1.9
16/08/2005,44.27,-1.71
17/08/2005,44.12,-0.34
18/08/2005,43.73,-0.88
19/08/2005,43.72,-0.02
22/08/2005,43.77,0.11
23/08/2005,43.42,-0.8
24/08/2005,42.37,-2.42
25/08/2005,42.31,-0.14
26/08/2005,42.37,0.14
29/08/2005,42.79,0.99
30/08/2005,42.49,-0.7
31/08/2005,42.7,0.49
01/09/2005,41.84,-2.01
02/09/2005,41.51,-0.79
06/09/2005,43.62,5.08
07/09/2005,43.73,0.25
08/09/2005,42.96,-1.76
09/09/2005,42.95,-0.02
12/09/2005,44.5,3.61
13/09/2005,43.93,-1.28
14/09/2005,43.1,-1.89
15/09/2005,42.71,-0.9
16/09/2005,42.8,0.21
19/09/2005,42.75,-0.12
20/09/2005,41.87,-2.06
21/09/2005,41.25,-1.48
22/09/2005,42.08,2.01
23/09/2005,42.19,0.26
26/09/2005,43.34,2.73
27/09/2005,43.16,-0.42
28/09/2005,43.37,0.49
29/09/2005,44.79,3.27
30/09/2005,45.3,1.14
03/10/2005,46.01,1.57
04/10/2005,44.93,-2.35
05/10/2005,44.49,-0.98
06/10/2005,44.01,-1.08
07/10/2005,43.72,-0.66
10/10/2005,43.76,0.09
11/10/2005,43.4,-0.82
12/10/2005,42.55,-1.96
13/10/2005,42.62,0.16
14/10/2005,43.79,2.75
17/10/2005,45.02,2.81
18/10/2005,44.65,-0.82
19/10/2005,45.86,2.71
20/10/2005,45.01,-1.85
21/10/2005,45.95,2.09
24/10/2005,46.93,2.13
25/10/2005,46.17,-1.62
26/10/2005,39.75,-13.91
27/10/2005,39.06,-1.74
28/10/2005,38.95,-0.28
31/10/2005,39.86,2.34
01/11/2005,40.37,1.28
02/11/2005,40.75,0.94
03/11/2005,41.56,1.99
04/11/2005,41.09,-1.13
07/11/2005,41.39,0.73
08/11/2005,41.95,1.35
09/11/2005,41.4,-1.31
10/11/2005,42.18,1.88
11/11/2005,42.68,1.19
14/11/2005,42.53,-0.35
15/11/2005,44.45,4.51
16/11/2005,45.3,1.91
17/11/2005,46.74,3.18
18/11/2005,47.98,2.65
21/11/2005,47.99,0.02
22/11/2005,48.85,1.79
23/11/2005,48.24,-1.25
25/11/2005,48.06,-0.37
28/11/2005,48.35,0.6
29/11/2005,48.55,0.41
30/11/2005,48.46,-0.19
01/12/2005,49,1.11
02/12/2005,49.06,0.12
05/12/2005,48.83,-0.47
06/12/2005,49.26,0.88
07/12/2005,48.83,-0.87
08/12/2005,48.35,-0.98
09/12/2005,48.74,0.81
12/12/2005,49.07,0.68
13/12/2005,49.5,0.88
14/12/2005,49.41,-0.18
15/12/2005,49.48,0.14
16/12/2005,49.21,-0.55
19/12/2005,48.37,-1.71
20/12/2005,48.14,-0.48
21/12/2005,48.97,1.72
22/12/2005,49.22,0.51
23/12/2005,49.22,0
27/12/2005,48.56,-1.34
28/12/2005,48.06,-1.03
29/12/2005,47.99,-0.15
30/12/2005,47.15,-1.75
03/01/2006,47.58,0.91
04/01/2006,47.25,-0.69
05/01/2006,47.65,0.85
06/01/2006,47.87,0.46
09/01/2006,47.08,-1.65
10/01/2006,45.65,-3.04
11/01/2006,44.93,-1.58
12/01/2006,44.36,-1.27
13/01/2006,44.4,0.09
17/01/2006,44,-0.9
18/01/2006,44.32,0.73
19/01/2006,44.45,0.29
20/01/2006,43.92,-1.19
23/01/2006,43.73,-0.43
24/01/2006,44.02,0.66
25/01/2006,43.6,-0.95
26/01/2006,44.68,2.48
27/01/2006,45.22,1.21
30/01/2006,44.96,-0.57
31/01/2006,44.82,-0.31
01/02/2006,43.98,-1.87
02/02/2006,42.74,-2.82
03/02/2006,38.33,-10.32
06/02/2006,37.95,-0.99
07/02/2006,37.52,-1.13
08/02/2006,38.17,1.73
09/02/2006,37.99,-0.47
10/02/2006,38.52,1.4
13/02/2006,37.86,-1.71
14/02/2006,38.25,1.03
15/02/2006,39.26,2.64
16/02/2006,39.15,-0.28
17/02/2006,39.19,0.1
21/02/2006,38.29,-2.3
22/02/2006,38.72,1.12
23/02/2006,37.9,-2.12
24/02/2006,38.35,1.19
27/02/2006,38.01,-0.89
28/02/2006,37.44,-1.5
01/03/2006,37.12,-0.85
02/03/2006,36.88,-0.65
03/03/2006,37.21,0.89
06/03/2006,36.86,-0.94
07/03/2006,36.93,0.19
08/03/2006,36.81,-0.32
09/03/2006,36.12,-1.87
10/03/2006,36.22,0.28
13/03/2006,36.19,-0.08
