Date,EUR
2000. january 4.,254.47
2000. january 5.,254.48
2000. january 6.,254.59
2000. january 7.,254.65
2000. january 10.,254.68
2000. january 11.,254.72
2000. january 12.,254.69
2000. january 13.,254.86
2000. january 14.,254.84
2000. january 17.,254.9
2000. january 18.,254.91
2000. january 19.,255.01
2000. january 20.,255.09
2000. january 21.,255.13
2000. january 24.,255.11
2000. january 25.,255.18
2000. january 26.,255.16
2000. january 27.,255.31
2000. january 28.,255.25
2000. january 31.,255.42
2000. february 1.,255.44
2000. february 2.,255.42
2000. february 3.,255.51
2000. february 4.,255.51
2000. february 7.,255.53
2000. february 8.,255.57
2000. february 9.,255.64
2000. february 10.,255.8
2000. february 11.,255.76
2000. february 14.,255.8
2000. february 15.,255.83
2000. february 16.,255.85
2000. february 17.,256.02
2000. february 18.,256.04
2000. february 21.,256.77
2000. february 22.,257.07
2000. february 23.,257.74
2000. february 24.,256.68
2000. february 25.,256.91
2000. february 28.,256.59
2000. february 29.,256.75
2000. march 1.,256.49
2000. march 2.,256.44
2000. march 3.,256.55
2000. march 6.,256.55
2000. march 7.,256.58
2000. march 8.,256.57
2000. march 9.,256.71
2000. march 10.,257.03
2000. march 13.,257.33
2000. march 14.,257.66
2000. march 16.,257.09
2000. march 17.,257.06
2000. march 20.,257
2000. march 21.,257.06
2000. march 22.,257.08
2000. march 23.,257.2
2000. march 24.,257.35
2000. march 27.,257.38
2000. march 28.,257.47
2000. march 29.,257.74
2000. march 30.,258.45
2000. march 31.,258.33
2000. april 3.,258.72
2000. april 4.,259.3
2000. april 5.,258.7
2000. april 6.,259.1
2000. april 7.,258.76
2000. april 10.,258.8
2000. april 11.,258.35
2000. april 12.,258.18
2000. april 13.,258.3
2000. april 14.,257.85
2000. april 17.,258.59
2000. april 18.,258.56
2000. april 19.,258.46
2000. april 20.,258.2
2000. april 21.,257.99
2000. april 25.,258
2000. april 26.,258.05
2000. april 27.,258.18
2000. april 28.,258.17
2000. may 2.,258.33
2000. may 3.,258.27
2000. may 4.,258.3
2000. may 5.,258.3
2000. may 8.,258.35
2000. may 9.,258.38
2000. may 10.,258.35
2000. may 11.,258.46
2000. may 12.,258.53
2000. may 15.,259.07
2000. may 16.,258.97
2000. may 17.,258.79
2000. may 18.,258.88
2000. may 19.,259.13
2000. may 22.,259.4
2000. may 23.,259.53
2000. may 24.,259.95
2000. may 25.,259.71
2000. may 26.,259.92
2000. may 29.,259.82
2000. may 30.,259.64
2000. may 31.,259.39
2000. june 1.,259.3
2000. june 2.,259.29
2000. june 5.,259.16
2000. june 6.,259.29
2000. june 7.,259.46
2000. june 8.,259.56
2000. june 9.,259.6
2000. june 13.,259.65
2000. june 14.,259.62
2000. june 15.,259.84
2000. june 16.,259.73
2000. june 19.,259.83
2000. june 20.,259.8
2000. june 21.,259.96
2000. june 22.,259.84
2000. june 23.,259.86
2000. june 26.,259.9
2000. june 27.,259.95
2000. june 28.,260.07
2000. june 29.,260.09
2000. june 30.,260.12
2000. july 3.,260.01
2000. july 4.,259.95
2000. july 5.,260.01
2000. july 6.,260.23
2000. july 7.,260.25
2000. july 10.,260.17
2000. july 11.,260.32
2000. july 12.,260.16
2000. july 13.,260.2
2000. july 14.,260.16
2000. july 17.,260.11
2000. july 18.,260.17
2000. july 19.,260.22
2000. july 20.,260.24
2000. july 21.,260.25
2000. july 24.,260.32
2000. july 25.,260.29
2000. july 26.,260.31
2000. july 27.,260.45
2000. july 28.,260.45
2000. july 31.,260.43
2000. august 1.,260.46
2000. august 2.,260.51
2000. august 3.,260.57
2000. august 4.,260.57
2000. august 7.,260.6
2000. august 8.,260.62
2000. august 9.,260.65
2000. august 10.,260.73
2000. august 11.,260.81
2000. august 14.,260.83
2000. august 15.,260.83
2000. august 16.,260.84
2000. august 17.,260.92
2000. august 18.,260.94
2000. august 21.,260.95
2000. august 22.,260.98
2000. august 23.,261.01
2000. august 24.,261.09
2000. august 25.,261.11
2000. august 28.,261.17
2000. august 29.,261.2
2000. august 30.,261.21
2000. august 31.,261.34
2000. september 1.,261.34
2000. september 4.,261.34
2000. september 5.,261.48
2000. september 6.,261.87
2000. september 7.,261.83
2000. september 8.,261.72
2000. september 11.,261.97
2000. september 12.,261.8
2000. september 13.,261.6
2000. september 14.,261.77
2000. september 15.,261.77
2000. september 18.,261.91
2000. september 19.,262.26
2000. september 20.,262.34
2000. september 21.,262.61
2000. september 22.,263.03
2000. september 25.,263
2000. september 26.,263.15
2000. september 27.,263.38
2000. september 28.,263.87
2000. september 29.,263.75
2000. october 2.,264
2000. october 3.,263.25
2000. october 4.,263.2
2000. october 5.,263.08
2000. october 6.,262.79
2000. october 9.,262.5
2000. october 10.,262.34
2000. october 11.,262.74
2000. october 12.,263
2000. october 13.,263.07
2000. october 16.,263.26
2000. october 17.,262.91
2000. october 18.,263.22
2000. october 19.,262.89
2000. october 20.,262.65
2000. october 24.,262.63
2000. october 25.,262.64
2000. october 26.,262.84
2000. october 27.,263.16
2000. october 30.,263.28
2000. october 31.,263.15
2000. november 2.,263.24
2000. november 3.,263.8
2000. november 6.,263.79
2000. november 7.,263.85
2000. november 8.,264.06
2000. november 9.,264.05
2000. november 10.,264.03
2000. november 13.,264.18
2000. november 14.,264.02
2000. november 15.,263.6
2000. november 16.,263.51
2000. november 17.,263.9
2000. november 20.,263.88
2000. november 21.,264.33
2000. november 22.,264.15
2000. november 23.,264.01
2000. november 24.,264.61
2000. november 27.,264.59
2000. november 28.,264.73
2000. november 29.,265.02
2000. november 30.,264.9
2000. december 1.,265.05
2000. december 4.,265.05
2000. december 5.,265.12
2000. december 6.,265.15
2000. december 7.,265.1
2000. december 8.,265.25
2000. december 11.,265.29
2000. december 12.,265.39
2000. december 13.,264.82
2000. december 14.,264.74
2000. december 15.,264.75
2000. december 18.,264.59
2000. december 19.,264.65
2000. december 20.,264.51
2000. december 21.,264.5
2000. december 22.,264.86
2000. december 27.,264.82
2000. december 28.,265.67
2000. december 29.,264.94
2001. january 2.,264.58
2001. january 3.,264.72
2001. january 4.,264.83
2001. january 5.,264.88
2001. january 8.,264.92
2001. january 9.,264.88
2001. january 10.,265.33
2001. january 11.,264.94
2001. january 12.,265.01
2001. january 15.,265.05
2001. january 16.,264.96
2001. january 17.,265.21
2001. january 18.,265.1
2001. january 19.,265.15
2001. january 22.,264.96
2001. january 23.,264.97
2001. january 24.,265.03
2001. january 25.,265.11
2001. january 26.,265.17
2001. january 29.,265.17
2001. january 30.,265.13
2001. january 31.,265.16
2001. february 1.,265.27
2001. february 2.,265.27
2001. february 5.,265.3
2001. february 6.,265.32
2001. february 7.,265.35
2001. february 8.,265.46
2001. february 9.,265.47
2001. february 12.,265.49
2001. february 13.,265.69
2001. february 14.,265.56
2001. february 15.,265.64
2001. february 16.,265.64
2001. february 19.,265.76
2001. february 20.,265.71
2001. february 21.,265.74
2001. february 22.,266.31
2001. february 23.,266.01
2001. february 26.,266.15
2001. february 27.,266.2
2001. february 28.,266.14
2001. march 1.,266.2
2001. march 2.,266.4
2001. march 5.,266.41
2001. march 6.,266.25
2001. march 7.,266.29
2001. march 8.,266.28
2001. march 9.,266.21
2001. march 12.,266.23
2001. march 13.,266.35
2001. march 14.,266.47
2001. march 19.,266.7
2001. march 20.,266.42
2001. march 21.,266.46
2001. march 22.,266.56
2001. march 23.,266.55
2001. march 26.,266.58
2001. march 27.,266.63
2001. march 28.,266.75
2001. march 29.,266.7
2001. march 30.,266.7
2001. april 2.,266.72
2001. april 3.,266.73
2001. april 4.,266.76
2001. april 5.,266.82
2001. april 6.,266.82
2001. april 9.,266.84
2001. april 10.,266.85
2001. april 11.,266.94
2001. april 12.,266.97
2001. april 13.,266.96
2001. april 17.,266.99
2001. april 18.,266.99
2001. april 19.,267.04
2001. april 20.,267.06
2001. april 23.,267.11
2001. april 24.,267.16
2001. april 25.,267.11
2001. april 26.,267.21
2001. april 27.,267.29
2001. may 2.,267.24
2001. may 3.,267.29
2001. may 4.,261.78
2001. may 7.,260
2001. may 8.,260.04
2001. may 9.,258.35
2001. may 10.,258.68
2001. may 11.,257.06
2001. may 14.,257.25
2001. may 15.,257.8
2001. may 16.,258.24
2001. may 17.,257.68
2001. may 18.,257.99
2001. may 21.,258.5
2001. may 22.,258.44
2001. may 23.,257.63
2001. may 24.,256.81
2001. may 25.,255.73
2001. may 28.,255.23
2001. may 29.,254.22
2001. may 30.,253.49
2001. may 31.,253.38
2001. june 1.,253.96
2001. june 5.,253.33
2001. june 6.,250.96
2001. june 7.,249.49
2001. june 8.,250.18
2001. june 11.,249.89
2001. june 12.,249.11
2001. june 13.,247.46
2001. june 14.,247.45
2001. june 15.,246.7
2001. june 18.,245.6
2001. june 19.,246.11
2001. june 20.,246.74
2001. june 21.,245.21
2001. june 22.,243.98
2001. june 25.,244.28
2001. june 26.,243.04
2001. june 27.,243.02
2001. june 28.,242.2
2001. june 29.,243.59
2001. july 2.,243.66
2001. july 3.,242.3
2001. july 4.,241.45
2001. july 5.,242.8
2001. july 6.,246.03
2001. july 9.,252.28
