Year,Month,Inflat,Unemp
2000,jan.,10.0,7.0
2000,febr.,9.8,7.2
2000,márc.,9.6,6.0
2000,ápr,9.2,6.9
2000,máj.,9.1,6.7
2000,jún.,9.1,6.0
2000,júl.,9.6,6.6
2000,aug.,9.6,6.5
2000,szept.,10.3,5.7
2000,okt.,10.4,6.2
2000,nov.,10.6,6.0
2000,dec.,10.1,5.7
2001,jan.,10.1,6.0
2001,febr.,10.4,6.3
2001,márc.,10.5,5.6
2001,ápr,10.3,5.8
2001,máj.,10.8,5.7
2001,jún.,10.5,5.4
2001,júl.,9.4,5.7
2001,aug.,8.7,5.8
2001,szept.,8.0,5.3
2001,okt.,7.6,5.6
2001,nov.,7.1,5.8
2001,dec.,6.8,5.4
2002,jan.,6.6,5.6
2002,febr.,6.2,5.7
2002,márc.,5.9,5.8
2002,ápr,6.1,5.7
2002,máj.,5.6,5.7
2002,jún.,4.8,5.6
2002,júl.,4.6,5.9
2002,aug.,4.5,5.9
2002,szept.,4.6,5.9
2002,okt.,4.9,5.9
2002,nov.,4.8,5.9
2002,dec.,4.8,5.9
2003,jan.,4.7,6.0
2003,febr.,4.5,6.3
2003,márc.,4.7,6.4
2003,ápr,3.9,6.2
2003,máj.,3.6,6.0
2003,jún.,4.3,5.8
2003,júl.,4.7,5.7
2003,aug.,4.7,5.7
2003,szept.,4.7,5.7
2003,okt.,4.9,5.6
2003,nov.,5.6,5.5
2003,dec.,5.7,5.5
2004,jan.,6.6,5.8
2004,febr.,7.1,6.0
2004,márc.,6.7,6.1
2004,ápr,6.9,6.0
2004,máj.,7.6,5.8
2004,jún.,7.5,5.8
2004,júl.,7.2,5.9
2004,aug.,7.2,5.9
2004,szept.,6.6,6.1
2004,okt.,6.3,6.1
2004,nov.,5.8,6.3
2004,dec.,5.5,6.3
2005,jan.,4.1,6.6
2005,febr.,3.2,6.9
2005,márc.,3.5,7.1
2005,ápr,3.9,7.2
2005,máj.,3.6,7.2
2005,jún.,3.8,7.1
2005,júl.,3.7,7.1
2005,aug.,3.6,7.2
2005,szept.,3.7,7.3
2005,okt.,3.2,7.3
2005,nov.,3.3,7.2
2005,dec.,3.3,7.3
2006,jan.,2.7,7.5
2006,febr.,2.5,7.8
2006,márc.,2.3,7.7
2006,ápr,2.3,7.6
2006,máj.,2.8,7.3
2006,jún.,2.8,7.2
2006,júl.,3.0,7.4
2006,aug.,3.5,7.4
2006,szept.,5.9,7.5
2006,okt.,6.3,7.5
2006,nov.,6.4,7.5
2006,dec.,6.5,7.5
2007,jan.,7.8,7.5
2007,febr.,8.8,7.4
2007,márc.,9.0,7.5
2007,ápr,8.8,7.5
2007,máj.,8.5,7.3
2007,jún.,8.6,7.0
2007,júl.,8.4,7.0
2007,aug.,8.3,7.2
2007,szept.,6.4,7.3
2007,okt.,6.7,7.4
2007,nov.,7.1,7.5
2007,dec.,7.4,7.8
2008,jan.,7.1,8.2
2008,febr.,6.9,8.1
2008,márc.,6.7,8.0
2008,ápr,6.6,7.7
2008,máj.,7.0,7.7
2008,jún.,6.7,7.6
2008,júl.,6.7,7.5
2008,aug.,6.5,7.4
2008,szept.,5.7,7.7
2008,okt.,5.1,7.7
2008,nov.,4.2,7.8
2008,dec.,3.5,8.0
2009,jan.,3.1,8.5
2009,febr.,3.0,9.2
2009,márc.,2.9,9.8
2009,ápr,3.4,9.9
2009,máj.,3.8,9.8
2009,jún.,3.7,9.6
2009,júl.,5.1,9.7
2009,aug.,5.0,10.0
2009,szept.,4.9,10.3
2009,okt.,4.7,10.3
2009,nov.,5.2,10.5
2009,dec.,5.6,10.4
2010,jan.,6.4,10.9
2010,febr.,5.7,11.4
2010,márc.,5.9,11.8
2010,ápr,5.7,11.8
2010,máj.,5.1,11.5
2010,jún.,5.3,11.2
2010,júl.,4.0,11.0
2010,aug.,3.7,11.0
2010,szept.,3.8,10.8
2010,okt.,4.2,10.8
2010,nov.,4.2,10.7
2010,dec.,4.7,10.8
2011,jan.,4.0,11.2
2011,febr.,4.1,11.6
2011,márc.,4.5,11.8
2011,ápr,4.7,11.5
2011,máj.,3.9,11.1
2011,jún.,3.5,10.9
2011,júl.,3.1,10.8
2011,aug.,3.6,10.8
2011,szept.,3.6,10.7
2011,okt.,3.9,10.9
2011,nov.,4.3,10.7
2011,dec.,4.1,10.7
2012,jan.,5.5,11.2
2012,febr.,5.9,11.7
2012,márc.,5.5,11.9
2012,ápr.,5.7,11.7
2012,máj.,5.3,11.4
2012,jún.,5.6,11.0
2012,júl.,5.8,10.7
2012,aug.,6.0,10.5
2012,szept.,6.6,10.5
2012,okt.,6.0,10.5
2012,nov.,5.2,10.6
2012,dec.,5.0,10.6
2013,jan.,3.7,11.1
2013,febr.,2.8,11.5
2013,márc.,2.2,11.6
2013,ápr.,1.7,10.9
2013,máj.,1.8,10.5
2013,jún.,1.9,10.2
2013,júl.,1.8,10.1
2013,aug.,1.3,10.0
2013,szept.,1.4,9.8
2013,okt.,0.9,9.7
2013,nov.,0.9,9.2
2013,dec.,0.4,9.1
2014,jan.,0.0,8.8
2014,febr.,0.1,8.4
2014,márc.,0.1,8.3
2014,ápr.,-0.1,8.1
2014,máj.,-0.1,8.1
2014,jún.,-0.3,8.1
2014,júl.,0.1,8.0
2014,aug.,0.2,7.7
2014,szept.,-0.5,7.4
2014,okt.,-0.4,7.1
2014,nov.,-0.7,7.2
2014,dec.,-0.9,7.1
2015,jan.,-1.4,7.4
2015,febr.,-1.0,7.7
2015,márc.,-0.6,7.8
2015,ápr.,-0.3,7.6
2015,máj.,0.5,7.1
2015,jún.,0.6,6.9
2015,júl.,0.4,6.8
2015,aug.,0.0,6.7
2015,szept.,-0.4,6.4
2015,okt.,0.1,6.4
2015,nov.,0.5,6.2
2015,dec.,0.9,6.2
2016,jan.,0.9,6.2
2016,febr.,0.3,6.1
2016,márc.,-0.2,6.0
2016,ápr.,0.2,5.8
2016,máj.,-0.2,5.5
2016,jún.,-0.2,5.1
2016,júl.,-0.3,5.0
2016,aug.,-0.1,4.9
2016,szept.,0.6,4.9
2016,okt.,1.0,4.7
2016,nov.,1.1,4.5
2016,dec.,1.8,4.4
2017,jan.,2.3,4.3
2017,febr.,2.9,4.4
2017,márc.,2.7,4.5
2017,ápr.,2.2,4.6
2017,máj.,2.1,4.4
2017,jún.,1.9,4.3
2017,júl.,2.1,4.2
2017,aug.,2.6,4.2
2017,szept.,2.5,4.1
2017,okt.,2.2,4.0
2017,nov.,2.5,3.8
2017,dec.,2.1,3.8
2018,jan.,2.1,3.8
2018,febr.,1.9,3.8
2018,márc.,2.0,3.9
2018,ápr.,2.3,3.8
2018,máj.,2.8,3.7
2018,jún.,3.1,3.6
2018,júl.,3.4,3.6
2018,aug.,3.4,3.7
2018,szept.,3.6,3.8
2018,okt.,3.8,3.7
2018,nov.,3.1,3.6
2018,dec.,2.7,3.6
2019,jan.,2.7,3.7
2019,febr.,3.1,3.6
2019,márc.,3.7,3.6
2019,ápr.,3.9,3.5
2019,máj.,3.9,3.4
2019,jún.,3.4,3.3
2019,júl.,3.3,3.4
2019,aug.,3.1,3.4
2019,szept.,2.8,3.5
2019,okt.,2.9,3.5
2019,nov.,3.4,3.5
2019,dec.,4.0,3.3
2020,jan.,4.7,3.4
2020,febr.,4.4,3.5
2020,márc.,3.9,3.7
2020,ápr.,2.4,3.8
2020,máj.,2.2,4.1
2020,jún.,2.9,4.6
2020,júl.,3.8,4.8
2020,aug.,3.9,4.6
2020,szept.,3.4,4.4
2020,okt.,3.0,4.3
2020,nov.,2.7,
2020,dec.,,
