district,school_county,students,teachers
75119,Sunol Glen Unified - Alameda,195,10.899999618530273
61499,Manzanita Elementary - Butte,240,11.149999618530273
61549,Thermalito Union Elementary - Butte,1550,82.9000015258789
61457,Golden Feather Union Elementary - Butte,243,14
61523,Palermo Union Elementary - Butte,1335,71.5
62042,Burrel Union Elementary - Fresno,137,6.400000095367432
68536,Holt Union Elementary - San Joaquin,195,10
63834,Vineland Elementary - Kern,888,42.5
62331,Orange Center Elementary - Fresno,379,19
67306,Del Paso Heights Elementary - Sacramento,2247,108
65722,Le Grand Union Elementary - Merced,446,21
62174,West Fresno Elementary - Fresno,987,47
71795,Allensworth Elementary - Tulare,103,5
72181,Sunnyside Union Elementary - Tulare,487,24.34000015258789
72298,Woodville Elementary - Tulare,649,36
72041,Pixley Union Elementary - Tulare,852,42.06999969482422
63594,Lost Hills Union Elementary - Kern,491,28.920000076293945
63370,Buttonwillow Union Elementary - Kern,421,25.5
64709,Lennox Elementary - Los Angeles,6880,303.0299987792969
63560,Lamont Elementary - Kern,2688,135
63230,Westmorland Union Elementary - Imperial,440,24
72058,Pleasant View Elementary - Tulare,475,21
63842,Wasco Union Elementary - Kern,2538,130.5
71811,Alta Vista Elementary - Tulare,476,19
65748,Livingston Union Elementary - Merced,2357,114
72272,Woodlake Union Elementary - Tulare,1588,85
65961,Alisal Union Elementary - Monterey,7306,319.79998779296875
63313,Arvin Union Elementary - Kern,2601,135
72199,Terra Bella Union Elementary - Tulare,847,44
72215,Tipton Elementary - Tulare,452,22
68379,San Ysidro Elementary - San Diego,4142,201
75440,Soledad Unified - Monterey,2102,99.75
64816,Mountain View Elementary - Los Angeles,10012,464.8999938964844
66050,King City Union Elementary - Monterey,2488,125
67819,Ontario-Montclair Elementary - San Bernardino,25151,1186.699951171875
64758,Los Nietos Elementary - Los Angeles,2267,103.68000030517578
65870,Winton Elementary - Merced,1657,90.4000015258789
62380,Raisin City Elementary - Fresno,284,17.5
68999,Ravenswood City Elementary - San Mateo,5370,280
63578,Richland-Lerdo Union Elementary - Kern,2471,121.86000061035156
72538,Oxnard Elementary - Ventura,15386,669.3599853515625
65680,El Nido Elementary - Merced,184,9
63461,Fairfax Elementary - Kern,1217,61.400001525878906
63404,Delano Union Elementary - Kern,6219,268
67199,Perris Elementary - Riverside,4258,221
65078,Valle Lindo Elementary - Los Angeles,1235,53
69369,Alum Rock Union Elementary - Santa Clara,16244,766.6500244140625
63438,Edison Elementary - Kern,814,39
63321,Bakersfield City Elementary - Kern,27176,1429
69450,Franklin-McKinley Elementary - Santa Clara,10696,487.9700012207031
64592,Hawthorne Elementary - Los Angeles,8935,444.5
65193,Chowchilla Elementary - Madera,1600,74.5
66142,Salinas City Elementary - Monterey,9028,449.9200134277344
69120,Santa Maria-Bonita Elementary - Santa Barbara,10625,521.469970703125
65110,Whittier City Elementary - Los Angeles,7151,318.5799865722656
64477,Eastside Union Elementary - Los Angeles,2404,105
64691,Lawndale Elementary - Los Angeles,5804,283.1499938964844
67421,Robla Elementary - Sacramento,2253,112.6500015258789
66191,Santa Rita Union Elementary - Monterey,2807,126.12000274658203
72561,Rio Elementary - Ventura,3074,142.5500030517578
72157,Strathmore Union Elementary - Tulare,723,37.119998931884766
67397,North Sacramento Elementary - Sacramento,5138,290.7749938964844
66423,Anaheim Elementary - Orange,20927,953.5
63974,Lemoore Union Elementary - Kings,3017,138.5
63875,Armona Union Elementary - Kings,957,50
